cid,nlane,turn,dnroad,geom,len
4689_4694,3,S#L#U#R,4694_4697#4694_4808#4694_4689#4694_4662,0105000020E610000001000000010200000002000000380BB63CAFAF5D40B03C9C2858F13E409854107DE3AF5D40B08DA50D5CF13E40,304.8323482581241
4694_4697,3,L#S#U#R,4697_4806#4697_4706#4697_4694#4697_4651,0105000020E610000001000000010200000002000000567A127DE3AF5D409BF69C0D5CF13E40A9816AAC12B05D40A9E751AF63F13E40,275.5130502579618
4706_4724,3,S#R#L#U,4724_4732#4724_4664#4724_4863#4724_4706,0105000020E61000000100000001020000000600000064D2D7DA58B05D4048588E6F73F13E40C04AB2CC6AB05D400A506C6877F13E404686EA208EB05D403CE9F1397FF13E408CAE1C6B90B05D40361AA7BE7FF13E406BB45E04B4B05D404F2115CE87F13E40A88DA858CEB05D40344179C48DF13E40,686.7224753665671
4694_4808,2,R#S#U,4808_4806#4808_4893#4808_4694,0105000020E610000001000000010200000007000000567A127DE3AF5D409BF69C0D5CF13E40DC47F285DEAF5D4074D99E0F85F13E4002AA8FF2D9AF5D401D4FB272BBF13E400E739BD3D9AF5D406377E4BCBDF13E40B86F1879D7AF5D40B27A8F4CEAF13E40B931E2A7D6AF5D40E778BB140DF23E4048B57846D5AF5D404CE94FD147F23E40,410.26372602521695
4662_4694,3,R#S#L#U,4694_4697#4694_4808#4694_4689#4694_4662,0105000020E61000000100000001020000000200000028246D0BF8AF5D40E015003ED3F03E409854107DE3AF5D40B08DA50D5CF13E40,260.65767448385094
4651_4697,4,S#R#L#U,4697_4806#4697_4706#4697_4694#4697_4651,0105000020E6100000010000000102000000030000007B389A8615B05D4031D84786A0F03E40042EB8B414B05D4014D920F6B6F03E40A9816AAC12B05D40A9E751AF63F13E40,330.6967066657364
4635_4651,4,R#S#U#L,4651_4697#4651_4662#4651_4635#4651_4562,0105000020E610000001000000010200000005000000D0FB4A7D5FB05D403050F4C838F03E4040661FB248B05D40E0408F5858F03E407084DE182BB05D40103C98D081F03E40C8427B2F1DB05D4000F1B39E95F03E40C012988615B05D4030AA3686A0F03E40,465.7495314315955
4662_4689,4,R#S#U#L,4689_4694#4689_4819#4689_4662#4689_4660,0105000020E61000000100000001020000000500000028246D0BF8AF5D40E015003ED3F03E4008F56AD6F2AF5D40B09E70A9DCF03E40D8BAC694D3AF5D40901EC90316F13E40103FCD03B7AF5D40D0E665124AF13E40380BB63CAFAF5D40B03C9C2858F13E40,480.5193711412079
4689_4819,3,S#U#R,4819_4855#4819_4689#4819_4879,0105000020E61000000100000001020000000B000000380BB63CAFAF5D40B03C9C2858F13E4050B7D3739EAF5D40D078DF8E76F13E408830010994AF5D40209F7B6F89F13E4028E14F4883AF5D40509AECCAA7F13E404828819076AF5D4010323C42C2F13E40A86A02DF69AF5D40C038855DE0F13E40F866E3A762AF5D401071857AF1F13E402860EB8755AF5D4010C62E4212F23E401026CCEE48AF5D409092ECB831F23E40B854C23941AF5D4020F528E047F23E40D09B01D036AF5D4020FF65CE65F23E40,840.0468482271247
4724_4732,4,S#L#R#U,4732_4745#4732_4881#4732_4634#4732_4724,0105000020E610000001000000010200000008000000A88DA858CEB05D40344179C48DF13E404B50890CE7B05D40D2AEDF9F94F13E402E6DBC64F1B05D40D13A70EF96F13E40A04C691EFCB05D4034B2F18199F13E40750C9FDFFDB05D40F955D2ED99F13E40D0E4496F0BB15D400F90792E9DF13E40107EFB9D1AB15D40E90BA51FA2F13E408456F52C27B15D4071B3D36AA3F13E40,519.4864897597189
4732_4745,3,S#R#U,4745_4758#4745_4663#4745_4732,0105000020E61000000100000001020000000C0000008456F52C27B15D4071B3D36AA3F13E40B9DA926E2EB15D40FF53162AA4F13E409A59F04736B15D401CF95147A6F13E40E9BED68438B15D406337E0B1A7F13E40A4A4A8AF3EB15D40AA654A6FA8F13E40F2AB83CD4AB15D406D457264ABF13E40178BD7A34DB15D4037209D15ACF13E40A2D613E14FB15D40312789A1ACF13E40BAADE3AE54B15D40361EAECDADF13E408225B26A6BB15D40E0B9187FB2F13E404B56A8E284B15D4031B2A6AAB7F13E40104D0B2489B15D400118AE92B8F13E40,572.6449516834841
4745_4758,4,S#U#L,4758_4779#4758_4745#4758_4832,0105000020E610000001000000010200000006000000F85F0C2489B15D40809E9892B8F13E4080BCE35699B15D401067BB05BCF13E40D80B1DBFA0B15D40C09B6E46BEF13E40B8401BB6B6B15D404089CA51C3F13E40C8850F01D4B15D40A00D4017CBF13E40800BC3FEEDB15D408041B977D1F13E40,589.7528185276615
4664_4635,3,S#L#U,4635_4651#4635_4536#4635_4664,0105000020E6100000010000000102000000120000008756A32EC4B05D40868D36B7D7F03E403AB70186C2B05D40A800D6B2CEF03E403A545B03BEB05D4005DFD152BBF03E4074A65C23BAB05D40F96B0D00B0F03E40692075BFB3B05D4043835EC99FF03E409DC520EA9DB05D40A177D79774F03E40324E6CD392B05D40E18285F65EF03E40FC9D797B88B05D40EC32BA8B49F03E40214C7AAD7EB05D4098507FC533F03E404E4EA37F78B05D40E43A3A6C2AF03E40D1E706B773B05D40570E675D27F03E40093EBC9D73B05D402DE34B4D27F03E40A027F1FB6FB05D408D87CE9D26F03E40D98FB9D76EB05D4069EBD8EF26F03E4084B7AC676DB05D400AEB315727F03E40730DD87A6BB05D40BC61576A28F03E407FE8597B65B05D40ED80CA7C30F03E4008D6487D5FB05D401E50F4C838F03E40,686.7660543643077
4724_4664,3,S#L#U,4664_4635#4664_4634#4664_4724,0105000020E610000001000000010200000007000000A88DA858CEB05D40344179C48DF13E4090BA21B6C9B05D40C6CD1DBB13F13E40E987C734C9B05D40AA5F8EC305F13E40AE31E013C8B05D40EE33BAC5F4F03E4097361C96C6B05D40C629841FE6F03E40AD20DD3AC5B05D40530FA869DDF03E408756A32EC4B05D40868D36B7D7F03E40,315.915893745567
4493_4562,4,S#R#U#L,4562_4651#4562_4536#4562_4493#4562_4589,0105000020E61000000100000001020000000A00000087E0556220AF5D401C6083113DED3E40044456F125AF5D4050404D0C4DED3E40CA13EF9D64AF5D409C8F08190AEE3E408C15F37B74AF5D40F24C1E053EEE3E401CB60CBC83AF5D40B522833F70EE3E40461850B993AF5D40F990A630A5EE3E40001C7BF69CAF5D400D8FBB10C4EE3E408779038AA0AF5D409CBE6404D0EE3E402CC66DF2A3AF5D4084DDEA18DBEE3E40C5229FBAA6AF5D4097CD563DE4EE3E40,1061.7425042961065
